City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Husyatyn,UA,49.0726,26.2141,42.78,45,0,8.32,clear sky
282,Flin Flon,CA,54.7682,-101.865,56.57,27,0,5.55,clear sky
283,Liberty,US,31.8335,-81.5004,79.05,88,51,1.01,broken clouds
284,Bhuj,IN,23.2667,69.6667,84.36,62,14,5.68,few clouds
285,Arona,ES,28.0996,-16.681,67.82,74,20,14.97,few clouds
286,Srednekolymsk,RU,67.45,153.6833,6.78,94,67,2.84,broken clouds
287,Valparaiso,CL,-33.0393,-71.6273,62.24,55,20,8.05,few clouds
288,Fethiye,TR,36.6217,29.1164,64.27,65,20,3.47,few clouds
289,Trairi,BR,-3.2778,-39.2689,81.25,74,13,13.6,few clouds
290,Talnakh,RU,69.4865,88.3972,28.54,96,100,4.03,overcast clouds
291,Clonakilty,IE,51.6231,-8.8706,58.21,94,100,14.5,overcast clouds
292,Ati,TD,13.2154,18.3353,92.01,16,9,8.03,clear sky
293,Dongsheng,CN,39.8161,109.9776,50.67,79,100,11.77,overcast clouds
294,Tadine,NC,-21.55,167.8833,70.2,67,72,9.1,broken clouds
295,Rafaela,AR,-31.2503,-61.4867,79.65,21,0,15.59,clear sky
296,Broome,US,42.2506,-75.833,76.19,66,40,1.01,scattered clouds
297,La Ronge,CA,55.1001,-105.2842,56.23,31,0,7.47,clear sky
298,Kralendijk,BQ,12.15,-68.2667,83.28,77,44,15.21,scattered clouds
299,Nanortalik,GL,60.1432,-45.2371,37.94,60,10,3.56,clear sky
300,Gombe,NG,10.2897,11.1673,81.19,49,96,2.06,overcast clouds
301,Merrill,US,45.1805,-89.6835,71.37,73,75,5.75,broken clouds
302,Luderitz,NA,-26.6481,15.1594,56.64,76,0,11.65,clear sky
303,Pershotravneve,UA,51.3929,28.8684,38.43,72,10,5.77,clear sky
304,Okha,RU,53.5739,142.9478,41.63,71,83,16.89,broken clouds
305,Weihai,CN,37.5017,122.1136,65.43,88,100,6.42,overcast clouds
306,Mariental,NA,-24.6333,17.9667,71.47,6,0,12.71,clear sky
307,Kuching,MY,1.55,110.3333,79.02,89,20,1.14,few clouds
308,Pratapgarh,IN,24.0333,74.7833,77.22,64,11,4.23,few clouds
309,San Cristobal,VE,7.7669,-72.225,80.78,69,43,5.53,scattered clouds
310,Sahuaripa,MX,29.05,-109.2333,96.51,21,6,4.09,clear sky
311,Atbasar,KZ,51.8,68.3333,40.96,69,0,5.64,clear sky
312,Zlitan,LY,32.4674,14.5687,73.89,62,0,9.69,clear sky
313,Mount Gambier,AU,-37.8333,140.7667,43.45,90,16,5.82,few clouds
314,Port Lincoln,AU,-34.7333,135.8667,54.3,92,100,8.14,overcast clouds
315,Cayenne,GF,4.9333,-52.3333,87.84,76,40,8.01,scattered clouds
316,Moron,AR,-34.6534,-58.6198,63.01,56,100,3.0,overcast clouds
317,Santa Ana,US,33.7456,-117.8678,72.64,68,75,1.01,broken clouds
318,Korla,CN,41.7597,86.1469,42.51,36,0,3.53,clear sky
319,Hamilton,US,39.1834,-84.5333,81.09,70,40,1.01,light rain
320,Bambous Virieux,MU,-20.3428,57.7575,69.22,74,12,9.8,few clouds
321,Olinda,BR,-8.0089,-34.8553,80.33,74,40,11.5,scattered clouds
322,Asfi,MA,32.2994,-9.2372,69.89,84,85,12.01,overcast clouds
323,Aklera,IN,24.4167,76.5667,77.61,66,0,4.34,clear sky
324,Sakaraha,MG,-22.9,44.5333,67.37,50,1,9.62,clear sky
325,Kimbe,PG,-5.5502,150.1429,75.34,91,94,4.0,overcast clouds
326,Kharp,RU,66.8014,65.8081,33.82,85,100,9.98,overcast clouds
327,Saint-Georges,GD,12.0564,-61.7485,83.88,79,75,11.5,broken clouds
328,Kostomuksha,RU,64.571,30.5767,44.73,98,100,3.76,overcast clouds
329,Kasongo-Lunda,CD,-6.4667,16.8167,74.71,81,50,3.11,scattered clouds
330,Tallahassee,US,30.4383,-84.2807,87.1,71,40,1.01,scattered clouds
331,Shiyan,CN,32.6475,110.7781,56.75,95,100,0.45,overcast clouds
332,Nantucket,US,41.2835,-70.0995,70.03,77,1,13.8,clear sky
333,Kavieng,PG,-2.5744,150.7967,81.52,77,100,5.08,light rain
334,Chirongui,YT,-12.9319,45.1483,75.13,70,0,3.65,clear sky
335,Mananjary,MG,-21.2167,48.3333,68.02,70,60,4.27,broken clouds
336,Weligama,LK,5.9667,80.4167,78.73,84,100,9.13,overcast clouds
337,Waingapu,ID,-9.6567,120.2641,75.92,82,69,3.91,broken clouds
338,Neuquen,AR,-38.9516,-68.0591,78.69,29,0,3.44,clear sky
339,Ayagoz,KZ,47.9714,80.4392,34.03,52,7,7.87,clear sky
340,Cabedelo,BR,-6.9811,-34.8339,81.27,78,100,13.35,overcast clouds
341,Clyde River,CA,70.4692,-68.5914,30.88,77,100,7.74,overcast clouds
342,Ghanzi,BW,-21.5667,21.7833,75.96,14,0,7.16,clear sky
343,Vallenar,CL,-28.5708,-70.7581,70.66,28,0,10.89,clear sky
344,Hambantota,LK,6.1241,81.1185,80.02,81,100,16.28,overcast clouds
